"hotel","landmark","distance_m","duration_m"
"Manon les Suites","Rosenborg Slot",1451.9,17.705
"Imperial","Rosenborg Slot",1692.8,20.5716666666667
"Guldsmeden København","Rosenborg Slot",2469.3,30.0966666666667
"Absalon Hotel","Rosenborg Slot",2173.1,26.52
"Four Points Flex by Sheraton Copenhagen City","Rosenborg Slot",2194.6,26.78
"Ascot Hotel","Rosenborg Slot",1452.8,17.7633333333333
"Hotel Alexandra","Rosenborg Slot",1417.6,17.275
"MS Mary","Rosenborg Slot",1340.7,17.55
"Hotel 9 små hjem","Rosenborg Slot",1715.6,20.5833333333333
"Axel Guldsmeden","Rosenborg Slot",2105.2,25.7083333333333
"Hotel Sanders","Rosenborg Slot",1231.1,16.175
"the Socialist","Rosenborg Slot",915.2,12.4616666666667
"CitizenM Rådhuspladsen","Rosenborg Slot",1467.3,17.87
"Good Morning City Copenhagen Star","Rosenborg Slot",2137.3,26.09
"Wakeup Bernstorffsgade","Rosenborg Slot",2612.9,31.4616666666667
"Turist Hotellet","Rosenborg Slot",2123.8,25.935
"Annex Copenhagen","Rosenborg Slot",2223.9,27.1316666666667
"Coco Hotel","Rosenborg Slot",2250.8,27.415
"Villa Copenhagen","Rosenborg Slot",2163.4,26.315
"Bryggen Guldesmeden Hotels","Rosenborg Slot",3379.8,42.2
"Kanalhuset","Rosenborg Slot",2171.1,27.7083333333333
"Go Hotel City","Rosenborg Slot",4459.5,55.57
"Four Points Flex by Sheraton Copenhagen Arena","Rosenborg Slot",7477.2,91.7416666666667
"Eric Vökel Boutique Apartments","Rosenborg Slot",2267.2,27.6483333333333
"A-Hotels City","Rosenborg Slot",2227.1,27.1333333333333
"Scandic Webers Hotel","Rosenborg Slot",2000.1,24.45
"Zoku Copenhagen","Rosenborg Slot",3779.8,47.3583333333333
"Scandic Nørreport","Rosenborg Slot",544.9,6.59
"25Hours","Rosenborg Slot",694.1,9.01333333333333
"Apēron Apartment Hotel","Rosenborg Slot",751.7,9.00333333333333
"Ibis Styles Copenhagen Ørestad","Rosenborg Slot",6170.8,76.0516666666667
"CPH Hotel","Rosenborg Slot",2573.6,31.3166666666667
"Brik Apartment Hotel","Rosenborg Slot",4061.3,50.7333333333333
"Hotel Bethel","Rosenborg Slot",1228.1,16.135
"Hotel Bella Grande","Rosenborg Slot",1352.4,16.495
"25hours Hotel Paper Island","Rosenborg Slot",2036.4,25.8466666666667
"Crowne Plaza Copenhagen Towers","Rosenborg Slot",7487.5,91.865
"Cabinn City","Den Lille Havfrue",3447.7,41.7533333333333
"Cab-Inn","Den Lille Havfrue",4124.5,49.9033333333333
"Cab-Inn Scandinavia","Den Lille Havfrue",3742.9,45.2383333333333
"Scandic Front","Den Lille Havfrue",1469.6,17.615
"The Square","Den Lille Havfrue",3187.9,38.38
"Copenhagen Strand","Den Lille Havfrue",2016.2,24.295
"Copenhagen Island","Den Lille Havfrue",4500.8,54.3683333333333
"Comfort Hotel Vesterbro","Den Lille Havfrue",3773.2,45.5183333333333
"Ibsens Hotel","Den Lille Havfrue",2776.9,33.3866666666667
"DGI-byens Hotel","Den Lille Havfrue",3918.2,47.4883333333333
"Savoy","Den Lille Havfrue",3944.8,47.57
"Avenue","Den Lille Havfrue",3915.4,47.175
"Hotel Sankt Annæ","Den Lille Havfrue",1512.8,18.1316666666667
"Phoenix Copenhagen","Den Lille Havfrue",1432.8,17.265
"Hotel Christian IV","Den Lille Havfrue",1729.4,20.785
"Best Western Plus Airport Hotel Copenhagen","Den Lille Havfrue",7930.7,95.3783333333333
"Ansgar","Den Lille Havfrue",3787.3,45.9233333333333
"Løven","Den Lille Havfrue",3905.3,47.1
"Tiffany","Den Lille Havfrue",3814.2,46.2466666666667
"Go Hotel Saga","Den Lille Havfrue",3830,46.17
"Hotel Du Nord","Den Lille Havfrue",3769,45.44
"Hebron","Den Lille Havfrue",3733.5,45.045
"City Hotel Nebo","Den Lille Havfrue",3740.3,45.0983333333333
"Comfort Hotel Excelsior","Den Lille Havfrue",3707.1,44.6983333333333
"Andersen Hotel","Den Lille Havfrue",3818.5,46.0633333333333
"Mercur Hotel","Den Lille Havfrue",3447.6,41.6416666666667
"Richmond Hotel","Den Lille Havfrue",3226.3,39.0483333333333
"Kong Arthur","Den Lille Havfrue",2990.3,35.94
"Comfort Hotel Esplanaden","Den Lille Havfrue",875.2,10.5216666666667
"Adina Hotel Copenhagen","Den Lille Havfrue",920,11.05
"Hotel SP34","Den Lille Havfrue",3015.7,36.475
"Hotel West","Den Lille Havfrue",4289.8,51.735
"Central Hotel & Cafe","Den Lille Havfrue",4253.7,51.5266666666667
"Hotel Bethel","Den Lille Havfrue",1729.7,20.8616666666667
"Hotel Maritime","Den Lille Havfrue",2028.5,24.4416666666667
"Hotel City","Den Lille Havfrue",2033,24.495
"Hotel Amager","Den Lille Havfrue",3649.4,44.0366666666667
"CPH Living","Den Lille Havfrue",3183.8,38.1433333333333
"Rent a Room","Den Lille Havfrue",3345.3,40.295
"Scandic Palace Hotel","Den Lille Havfrue",2971.4,35.8866666666667
"Rye115","Den Lille Havfrue",2137.8,25.5933333333333
"Carlton Guldsmeden","Den Lille Havfrue",4219.1,50.92
"Cottage Farm","Den Lille Havfrue",13782.3,165.863333333333
"Livjæger Hotel Pension","Den Lille Havfrue",1533.4,18.3616666666667
"Church of Scientology Hotel","Den Lille Havfrue",3799.6,45.8016666666667
"Babette Guldsmeden Hotel","Den Lille Havfrue",869.8,10.4566666666667
"Manon les Suites","Den Lille Havfrue",3280.5,39.6983333333333
"Imperial","Den Lille Havfrue",3521.3,42.565
"Guldsmeden København","Den Lille Havfrue",4203.6,50.7333333333333
"Absalon Hotel","Den Lille Havfrue",3836.7,46.25
"Four Points Flex by Sheraton Copenhagen City","Den Lille Havfrue",3856.1,46.5133333333333
"Ascot Hotel","Den Lille Havfrue",3285.2,39.605
"Hotel Alexandra","Den Lille Havfrue",3249.9,39.1166666666667
"MS Mary","Den Lille Havfrue",1707.4,20.465
"Hotel 9 små hjem","Den Lille Havfrue",1617.6,19.37
"Axel Guldsmeden","Den Lille Havfrue",3768.8,45.4383333333333
"Hotel Sanders","Den Lille Havfrue",1988.1,24.055
"the Socialist","Den Lille Havfrue",2092.7,25.3716666666667
"CitizenM Rådhuspladsen","Den Lille Havfrue",3197.5,38.5266666666667
"Good Morning City Copenhagen Star","Den Lille Havfrue",3800.9,45.82
"Wakeup Bernstorffsgade","Den Lille Havfrue",3721.4,45.0316666666667
"Turist Hotellet","Den Lille Havfrue",3787.5,45.665
"Annex Copenhagen","Den Lille Havfrue",3885.4,46.865
"Coco Hotel","Den Lille Havfrue",3936.9,47.4766666666667
"Villa Copenhagen","Den Lille Havfrue",3435.6,41.6783333333333
"Bryggen Guldesmeden Hotels","Den Lille Havfrue",4287.2,51.4766666666667
"Kanalhuset","Den Lille Havfrue",2391.3,28.655
"Go Hotel City","Den Lille Havfrue",4690.8,56.2933333333333
"Four Points Flex by Sheraton Copenhagen Arena","Den Lille Havfrue",8330.6,100.133333333333
"Eric Vökel Boutique Apartments","Den Lille Havfrue",3834.3,46.485
"A-Hotels City","Den Lille Havfrue",3913.2,47.195
"Scandic Webers Hotel","Den Lille Havfrue",3661.5,44.1833333333333
"Zoku Copenhagen","Den Lille Havfrue",4633.2,55.75
"Scandic Nørreport","Den Lille Havfrue",2373.5,28.5833333333333
"25Hours","Den Lille Havfrue",2356.4,28.3966666666667
"Apēron Apartment Hotel","Den Lille Havfrue",2495.3,29.99
"Ibis Styles Copenhagen Ørestad","Den Lille Havfrue",7024.2,84.4433333333333
"CPH Hotel","Den Lille Havfrue",3917.9,47.485
"Brik Apartment Hotel","Den Lille Havfrue",4401.4,52.7283333333333
"Hotel Bethel","Den Lille Havfrue",1747,21.0683333333333
"Hotel Bella Grande","Den Lille Havfrue",3158.9,38.07
"25hours Hotel Paper Island","Den Lille Havfrue",2085.3,24.9883333333333
"Crowne Plaza Copenhagen Towers","Den Lille Havfrue",8340.8,100.256666666667
"Cabinn City","Christiansborg Slot",1015.3,12.255
"Cab-Inn","Christiansborg Slot",2270.2,27.6083333333333
"Cab-Inn Scandinavia","Christiansborg Slot",2077.4,25.115
"Scandic Front","Christiansborg Slot",1203,14.6333333333333
"The Square","Christiansborg Slot",1067.4,12.885
"Copenhagen Strand","Christiansborg Slot",863,10.3983333333333
"Copenhagen Island","Christiansborg Slot",2107.9,25.3066666666667
"Comfort Hotel Vesterbro","Christiansborg Slot",1637.2,19.835
"Ibsens Hotel","Christiansborg Slot",1571.2,18.8516666666667
"DGI-byens Hotel","Christiansborg Slot",1544.5,18.5533333333333
"Savoy","Christiansborg Slot",1808.8,21.8866666666667
"Avenue","Christiansborg Slot",2376.2,28.7583333333333
"Hotel Sankt Annæ","Christiansborg Slot",1197.5,14.57
"Phoenix Copenhagen","Christiansborg Slot",1190.8,14.4616666666667
"Hotel Christian IV","Christiansborg Slot",1274.7,15.3383333333333
"Best Western Plus Airport Hotel Copenhagen","Christiansborg Slot",6644.8,80.3466666666667
"Ansgar","Christiansborg Slot",1413.6,16.9883333333333
"Løven","Christiansborg Slot",1769.3,21.4166666666667
"Tiffany","Christiansborg Slot",1440.6,17.3116666666667
"Go Hotel Saga","Christiansborg Slot",1454.1,17.8
"Hotel Du Nord","Christiansborg Slot",1435.5,17.5783333333333
"Hebron","Christiansborg Slot",1597.5,19.3616666666667
"City Hotel Nebo","Christiansborg Slot",1373.7,16.8383333333333
"Comfort Hotel Excelsior","Christiansborg Slot",1497.4,18.32
"Andersen Hotel","Christiansborg Slot",1507.4,18.44
"Mercur Hotel","Christiansborg Slot",1552.7,18.8583333333333
"Richmond Hotel","Christiansborg Slot",1512.3,18.245
"Kong Arthur","Christiansborg Slot",1806.8,21.7033333333333
"Comfort Hotel Esplanaden","Christiansborg Slot",1748.4,21.205
"Adina Hotel Copenhagen","Christiansborg Slot",2951.9,35.6316666666667
"Hotel SP34","Christiansborg Slot",1194.5,14.3733333333333
"Hotel West","Christiansborg Slot",2153.7,26.0516666666667
"Central Hotel & Cafe","Christiansborg Slot",2159.4,26.1816666666667
"Hotel Bethel","Christiansborg Slot",945.8,11.485
"Hotel Maritime","Christiansborg Slot",797.2,9.67166666666667
"Hotel City","Christiansborg Slot",801.7,9.725
"Hotel Amager","Christiansborg Slot",1922.9,23.5233333333333
"CPH Living","Christiansborg Slot",1032.5,12.3683333333333
"Rent a Room","Christiansborg Slot",1618.8,19.7816666666667
"Scandic Palace Hotel","Christiansborg Slot",810.8,9.78
"Rye115","Christiansborg Slot",3223.2,38.8433333333333
"Carlton Guldsmeden","Christiansborg Slot",2083.1,25.2366666666667
"Cottage Farm","Christiansborg Slot",12043.5,145.258333333333
"Livjæger Hotel Pension","Christiansborg Slot",2902,35.0016666666667
"Church of Scientology Hotel","Christiansborg Slot",1663.6,20.1183333333333
"Babette Guldsmeden Hotel","Christiansborg Slot",1753.8,21.27
"Manon les Suites","Christiansborg Slot",1600.9,19.3416666666667
"Imperial","Christiansborg Slot",1448.1,17.6033333333333
"Guldsmeden København","Christiansborg Slot",2067.5,25.05
"Absalon Hotel","Christiansborg Slot",1473.9,18.0383333333333
"Four Points Flex by Sheraton Copenhagen City","Christiansborg Slot",1499.9,18.35
"Ascot Hotel","Christiansborg Slot",1224.3,14.8283333333333
"Hotel Alexandra","Christiansborg Slot",1129.9,13.6633333333333
"MS Mary","Christiansborg Slot",1107.4,13.4533333333333
"Hotel 9 små hjem","Christiansborg Slot",2875.2,34.6816666666667
"Axel Guldsmeden","Christiansborg Slot",1435.7,17.58
"Hotel Sanders","Christiansborg Slot",696.1,8.46166666666667
"the Socialist","Christiansborg Slot",545.4,6.59833333333333
"CitizenM Rådhuspladsen","Christiansborg Slot",1080.2,13.0683333333333
"Good Morning City Copenhagen Star","Christiansborg Slot",1438.1,17.6083333333333
"Wakeup Bernstorffsgade","Christiansborg Slot",1289,15.5333333333333
"Turist Hotellet","Christiansborg Slot",1396.1,17.105
"Annex Copenhagen","Christiansborg Slot",1529.2,18.7016666666667
"Coco Hotel","Christiansborg Slot",1800.8,21.7933333333333
"Villa Copenhagen","Christiansborg Slot",1062,12.7433333333333
"Bryggen Guldesmeden Hotels","Christiansborg Slot",2136,25.7016666666667
"Kanalhuset","Christiansborg Slot",1285.6,15.495
"Go Hotel City","Christiansborg Slot",3574.1,43.3566666666667
"Four Points Flex by Sheraton Copenhagen Arena","Christiansborg Slot",6492.8,78.0283333333333
"Eric Vökel Boutique Apartments","Christiansborg Slot",1460.6,17.55
"A-Hotels City","Christiansborg Slot",1777.2,21.5116666666667
"Scandic Webers Hotel","Christiansborg Slot",1525.5,18.5
"Zoku Copenhagen","Christiansborg Slot",2894.3,35.145
"Scandic Nørreport","Christiansborg Slot",1197.6,14.38
"25Hours","Christiansborg Slot",817,9.82166666666667
"Apēron Apartment Hotel","Christiansborg Slot",1001.4,12.0266666666667
"Ibis Styles Copenhagen Ørestad","Christiansborg Slot",5187.1,62.3433333333333
"CPH Hotel","Christiansborg Slot",1544.2,18.55
"Brik Apartment Hotel","Christiansborg Slot",3175.8,38.52
"Hotel Bethel","Christiansborg Slot",963.1,11.6916666666667
"Hotel Bella Grande","Christiansborg Slot",1043.2,12.6316666666667
"25hours Hotel Paper Island","Christiansborg Slot",1681.4,20.2616666666667
"Crowne Plaza Copenhagen Towers","Christiansborg Slot",6503.1,78.1516666666667
"Cabinn City","Frederiksberg Slot",3328.5,40.1733333333333
"Cab-Inn","Frederiksberg Slot",2456.8,29.65
"Cab-Inn Scandinavia","Frederiksberg Slot",2852.8,34.4233333333333
"Scandic Front","Frederiksberg Slot",4800.5,57.9466666666667
"The Square","Frederiksberg Slot",2972.6,35.9366666666667
"Copenhagen Strand","Frederiksberg Slot",4680.4,56.545
"Copenhagen Island","Frederiksberg Slot",2894.9,34.895
"Comfort Hotel Vesterbro","Frederiksberg Slot",2285.4,27.6433333333333
"Ibsens Hotel","Frederiksberg Slot",3763.5,45.5883333333333
"DGI-byens Hotel","Frederiksberg Slot",2822.1,34.0733333333333
"Savoy","Frederiksberg Slot",2109.3,25.505
"Avenue","Frederiksberg Slot",3022.6,36.5383333333333
"Hotel Sankt Annæ","Frederiksberg Slot",4693.7,56.635
"Phoenix Copenhagen","Frederiksberg Slot",4621.4,55.81
"Hotel Christian IV","Frederiksberg Slot",4554.7,54.9783333333333
"Best Western Plus Airport Hotel Copenhagen","Frederiksberg Slot",9630.5,115.76
"Ansgar","Frederiksberg Slot",2691,32.495
"Løven","Frederiksberg Slot",2148.8,25.975
"Tiffany","Frederiksberg Slot",2664,32.1716666666667
"Go Hotel Saga","Frederiksberg Slot",2624.4,31.7033333333333
"Hotel Du Nord","Frederiksberg Slot",2592.7,31.3233333333333
"Hebron","Frederiksberg Slot",2460.9,29.745
"City Hotel Nebo","Frederiksberg Slot",2625.2,31.7133333333333
"Comfort Hotel Excelsior","Frederiksberg Slot",2528.6,30.5833333333333
"Andersen Hotel","Frederiksberg Slot",2536.5,30.6516666666667
"Mercur Hotel","Frederiksberg Slot",2770.7,33.5966666666667
"Richmond Hotel","Frederiksberg Slot",2998.4,36.3583333333333
"Kong Arthur","Frederiksberg Slot",3706.2,44.81
"Comfort Hotel Esplanaden","Frederiksberg Slot",5178.9,62.5533333333333
"Adina Hotel Copenhagen","Frederiksberg Slot",6056.6,73.4383333333333
"Hotel SP34","Frederiksberg Slot",3170.6,38.6166666666667
"Hotel West","Frederiksberg Slot",1943.8,23.4933333333333
"Central Hotel & Cafe","Frederiksberg Slot",1919.6,23.2066666666667
"Hotel Bethel","Frederiksberg Slot",4609.6,55.6616666666667
"Hotel Maritime","Frederiksberg Slot",4589.8,55.4333333333333
"Hotel City","Frederiksberg Slot",4594.2,55.4866666666667
"Hotel Amager","Frederiksberg Slot",5327.1,64.445
"CPH Living","Frederiksberg Slot",4102.3,49.62
"Rent a Room","Frederiksberg Slot",5142.5,62.2366666666667
"Scandic Palace Hotel","Frederiksberg Slot",3126.2,37.845
"Rye115","Frederiksberg Slot",5253.2,63.7966666666667
"Carlton Guldsmeden","Frederiksberg Slot",1908.2,23.1033333333333
"Cottage Farm","Frederiksberg Slot",14303.7,172.036666666667
"Livjæger Hotel Pension","Frederiksberg Slot",5856.4,70.79
"Church of Scientology Hotel","Frederiksberg Slot",2254.5,27.2733333333333
"Babette Guldsmeden Hotel","Frederiksberg Slot",5184.3,62.6183333333333
"Manon les Suites","Frederiksberg Slot",3198.4,38.6516666666667
"Imperial","Frederiksberg Slot",2666.1,32.3416666666667
"Guldsmeden København","Frederiksberg Slot",1849.2,22.3966666666667
"Absalon Hotel","Frederiksberg Slot",2525,30.5133333333333
"Four Points Flex by Sheraton Copenhagen City","Frederiksberg Slot",2499,30.2016666666667
"Ascot Hotel","Frederiksberg Slot",2934.8,35.59
"Hotel Alexandra","Frederiksberg Slot",3029.3,36.755
"MS Mary","Frederiksberg Slot",4778,57.68
"Hotel 9 små hjem","Frederiksberg Slot",5587,67.5016666666667
"Axel Guldsmeden","Frederiksberg Slot",2590.3,31.3233333333333
"Hotel Sanders","Frederiksberg Slot",4422,53.4183333333333
"the Socialist","Frederiksberg Slot",4050.7,48.9416666666667
"CitizenM Rådhuspladsen","Frederiksberg Slot",3028.6,36.64
"Good Morning City Copenhagen Star","Frederiksberg Slot",2595.3,31.3533333333333
"Wakeup Bernstorffsgade","Frederiksberg Slot",3539.5,42.7016666666667
"Turist Hotellet","Frederiksberg Slot",2682.4,32.3983333333333
"Annex Copenhagen","Frederiksberg Slot",2550.5,30.8166666666667
"Coco Hotel","Frederiksberg Slot",2117.2,25.5983333333333
"Villa Copenhagen","Frederiksberg Slot",3038,36.6933333333333
"Bryggen Guldesmeden Hotels","Frederiksberg Slot",4186.1,50.3566666666667
"Kanalhuset","Frederiksberg Slot",5101.7,61.62
"Go Hotel City","Frederiksberg Slot",7168.3,86.65
"Four Points Flex by Sheraton Copenhagen Arena","Frederiksberg Slot",8196,100.108333333333
"Eric Vökel Boutique Apartments","Frederiksberg Slot",2777.3,33.5266666666667
"A-Hotels City","Frederiksberg Slot",2193.2,26.54
"Scandic Webers Hotel","Frederiksberg Slot",2416.3,29.21
"Zoku Copenhagen","Frederiksberg Slot",5165.1,62.0783333333333
"Scandic Nørreport","Frederiksberg Slot",3811.5,46.3566666666667
"25Hours","Frederiksberg Slot",3857,46.5616666666667
"Apēron Apartment Hotel","Frederiksberg Slot",3980.6,48.31
"Ibis Styles Copenhagen Ørestad","Frederiksberg Slot",7085.2,85.1333333333333
"CPH Hotel","Frederiksberg Slot",2821.8,34.07
"Brik Apartment Hotel","Frederiksberg Slot",6770,81.8133333333333
"Hotel Bethel","Frederiksberg Slot",4592.3,55.455
"Hotel Bella Grande","Frederiksberg Slot",3120.9,37.9183333333333
"25hours Hotel Paper Island","Frederiksberg Slot",5400.6,65.1666666666667
"Crowne Plaza Copenhagen Towers","Frederiksberg Slot",8206.3,100.231666666667
"Cabinn City","Gråbrødretorv",1421.5,17.0566666666667
"Cab-Inn","Gråbrødretorv",1905.3,23.1366666666667
"Cab-Inn Scandinavia","Gråbrødretorv",1666.5,20.12
"Scandic Front","Gråbrødretorv",1310.6,15.8183333333333
"The Square","Gråbrødretorv",782.1,9.42833333333333
"Copenhagen Strand","Gråbrødretorv",1265.7,15.2216666666667
"Copenhagen Island","Gråbrødretorv",2524.5,30.295
"Comfort Hotel Vesterbro","Gråbrødretorv",1444.1,17.4183333333333
"Ibsens Hotel","Gråbrødretorv",988.3,11.84
"DGI-byens Hotel","Gråbrødretorv",1806.8,21.9033333333333
"Savoy","Gråbrødretorv",1604.2,19.3316666666667
"Avenue","Gråbrødretorv",1965.3,23.7633333333333
"Hotel Sankt Annæ","Gråbrødretorv",1203.8,14.5066666666667
"Phoenix Copenhagen","Gråbrødretorv",1131.5,13.6816666666667
"Hotel Christian IV","Gråbrødretorv",888.8,10.6483333333333
"Best Western Plus Airport Hotel Copenhagen","Gråbrødretorv",7092,85.765
"Ansgar","Gråbrødretorv",1630.9,19.6283333333333
"Løven","Gråbrødretorv",1564.7,18.8616666666667
"Tiffany","Gråbrødretorv",1603.9,19.305
"Go Hotel Saga","Gråbrødretorv",1501,18.1366666666667
"Hotel Du Nord","Gråbrødretorv",1440,17.4066666666667
"Hebron","Gråbrødretorv",1404.6,17.0116666666667
"City Hotel Nebo","Gråbrødretorv",1411.3,17.065
"Comfort Hotel Excelsior","Gråbrødretorv",1378.1,16.665
"Andersen Hotel","Gråbrødretorv",1489.6,18.03
"Mercur Hotel","Gråbrødretorv",1228.1,14.8716666666667
"Richmond Hotel","Gråbrødretorv",1101.4,13.25
"Kong Arthur","Gråbrødretorv",1223.8,14.6916666666667
"Comfort Hotel Esplanaden","Gråbrødretorv",1637,19.77
"Adina Hotel Copenhagen","Gråbrødretorv",2547,30.6483333333333
"Hotel SP34","Gråbrødretorv",783.5,9.37833333333333
"Hotel West","Gråbrødretorv",1949.1,23.4966666666667
"Central Hotel & Cafe","Gråbrødretorv",1870.9,22.6883333333333
"Hotel Bethel","Gråbrødretorv",1137.4,13.6783333333333
"Hotel Maritime","Gråbrødretorv",1144.7,13.805
"Hotel City","Gråbrødretorv",1149.2,13.8583333333333
"Hotel Amager","Gråbrødretorv",2370.1,28.9416666666667
"CPH Living","Gråbrødretorv",1476.8,17.7516666666667
"Rent a Room","Gråbrødretorv",2066,25.2
"Scandic Palace Hotel","Gråbrødretorv",760.5,9.10666666666667
"Rye115","Gråbrødretorv",2702.4,32.365
"Carlton Guldsmeden","Gråbrødretorv",1878.4,22.6816666666667
"Cottage Farm","Gråbrødretorv",12490.7,150.676666666667
"Livjæger Hotel Pension","Gråbrødretorv",2497.1,30.0183333333333
"Church of Scientology Hotel","Gråbrødretorv",1459,17.5633333333333
"Babette Guldsmeden Hotel","Gråbrødretorv",1631.6,19.705
"Manon les Suites","Gråbrødretorv",1189.9,14.3466666666667
"Imperial","Gråbrødretorv",1159.6,14.11
"Guldsmeden København","Gråbrødretorv",1862.9,22.495
"Absalon Hotel","Gråbrødretorv",1507.7,18.2166666666667
"Four Points Flex by Sheraton Copenhagen City","Gråbrødretorv",1527.1,18.48
"Ascot Hotel","Gråbrødretorv",869.6,10.5083333333333
"Hotel Alexandra","Gråbrødretorv",834.4,10.02
"MS Mary","Gråbrødretorv",1288.1,15.5516666666667
"Hotel 9 små hjem","Gråbrødretorv",2470.4,29.6983333333333
"Axel Guldsmeden","Gråbrødretorv",1439.9,17.405
"Hotel Sanders","Gråbrødretorv",949.9,11.435
"the Socialist","Gråbrødretorv",578.6,6.95833333333333
"CitizenM Rådhuspladsen","Gråbrødretorv",791.7,9.575
"Good Morning City Copenhagen Star","Gråbrødretorv",1471.9,17.7866666666667
"Wakeup Bernstorffsgade","Gråbrødretorv",1695.2,20.335
"Turist Hotellet","Gråbrødretorv",1458.5,17.6316666666667
"Annex Copenhagen","Gråbrødretorv",1556.4,18.8316666666667
"Coco Hotel","Gråbrødretorv",1596.2,19.2383333333333
"Villa Copenhagen","Gråbrødretorv",1324.3,16.0933333333333
"Bryggen Guldesmeden Hotels","Gråbrødretorv",2580.2,31.085
"Kanalhuset","Gråbrødretorv",1732.8,20.9133333333333
"Go Hotel City","Gråbrødretorv",4021.2,48.775
"Four Points Flex by Sheraton Copenhagen Arena","Gråbrødretorv",6937.1,83.4116666666667
"Eric Vökel Boutique Apartments","Gråbrødretorv",1603.7,19.3
"A-Hotels City","Gråbrødretorv",1572.6,18.9566666666667
"Scandic Webers Hotel","Gråbrødretorv",1332.6,16.15
"Zoku Copenhagen","Gråbrødretorv",3341.5,40.5633333333333
"Scandic Nørreport","Gråbrødretorv",631.9,7.56666666666667
"25Hours","Gråbrødretorv",268.3,3.215
"Apēron Apartment Hotel","Gråbrødretorv",435.7,5.21333333333333
"Ibis Styles Copenhagen Ørestad","Gråbrødretorv",5631.3,67.7266666666667
"CPH Hotel","Gråbrødretorv",1806.6,21.9
"Brik Apartment Hotel","Gråbrødretorv",3623,43.9383333333333
"Hotel Bethel","Gråbrødretorv",1120.2,13.4716666666667
"Hotel Bella Grande","Gråbrødretorv",753.1,9.11833333333333
"25hours Hotel Paper Island","Gråbrødretorv",1928.5,23.1833333333333
"Crowne Plaza Copenhagen Towers","Gråbrødretorv",6947.3,83.535
"Cabinn City","Kongens Nytorv",1683.4,20.3833333333333
"Cab-Inn","Kongens Nytorv",2594.5,31.415
"Cab-Inn Scandinavia","Kongens Nytorv",2380.1,28.6616666666667
"Scandic Front","Kongens Nytorv",530.4,6.41333333333333
"The Square","Kongens Nytorv",1414.9,16.9683333333333
"Copenhagen Strand","Kongens Nytorv",647.8,7.76
"Copenhagen Island","Kongens Nytorv",2736.6,32.9983333333333
"Comfort Hotel Vesterbro","Kongens Nytorv",2000.2,24.1066666666667
"Ibsens Hotel","Kongens Nytorv",1558.6,18.89
"DGI-byens Hotel","Kongens Nytorv",2153.9,26.1183333333333
"Savoy","Kongens Nytorv",2171.8,26.1583333333333
"Avenue","Kongens Nytorv",2678.9,32.305
"Hotel Sankt Annæ","Kongens Nytorv",423.7,5.10166666666667
"Phoenix Copenhagen","Kongens Nytorv",351.3,4.27666666666667
"Hotel Christian IV","Kongens Nytorv",689.3,8.32166666666667
"Best Western Plus Airport Hotel Copenhagen","Kongens Nytorv",6863.3,83.07
"Ansgar","Kongens Nytorv",2023,24.5533333333333
"Løven","Kongens Nytorv",2132.3,25.6883333333333
"Tiffany","Kongens Nytorv",2050,24.8766666666667
"Go Hotel Saga","Kongens Nytorv",2057,24.7583333333333
"Hotel Du Nord","Kongens Nytorv",1996,24.0283333333333
"Hebron","Kongens Nytorv",1960.5,23.6333333333333
"City Hotel Nebo","Kongens Nytorv",1967.3,23.6866666666667
"Comfort Hotel Excelsior","Kongens Nytorv",1934.1,23.2866666666667
"Andersen Hotel","Kongens Nytorv",2045.5,24.6516666666667
"Mercur Hotel","Kongens Nytorv",1897,22.905
"Richmond Hotel","Kongens Nytorv",1815.1,21.7916666666667
"Kong Arthur","Kongens Nytorv",1772,21.4433333333333
"Comfort Hotel Esplanaden","Kongens Nytorv",908.8,11.02
"Adina Hotel Copenhagen","Kongens Nytorv",2262.3,27.2716666666667
"Hotel SP34","Kongens Nytorv",1497.2,17.92
"Hotel West","Kongens Nytorv",2516.8,30.3233333333333
"Central Hotel & Cafe","Kongens Nytorv",2503.7,30.2283333333333
"Hotel Bethel","Kongens Nytorv",388.9,4.65333333333333
"Hotel Maritime","Kongens Nytorv",528.4,6.33
"Hotel City","Kongens Nytorv",532.9,6.38333333333333
"Hotel Amager","Kongens Nytorv",2141.4,26.2466666666667
"CPH Living","Kongens Nytorv",1609.4,19.3766666666667
"Rent a Room","Kongens Nytorv",1837.3,22.505
"Scandic Palace Hotel","Kongens Nytorv",1207.1,14.5166666666667
"Rye115","Kongens Nytorv",2558.8,30.7783333333333
"Carlton Guldsmeden","Kongens Nytorv",2446.1,29.5083333333333
"Cottage Farm","Kongens Nytorv",12262,147.981666666667
"Livjæger Hotel Pension","Kongens Nytorv",2218.4,26.7466666666667
"Church of Scientology Hotel","Kongens Nytorv",2026.6,24.39
"Babette Guldsmeden Hotel","Kongens Nytorv",914.2,11.085
"Manon les Suites","Kongens Nytorv",1903.6,22.8883333333333
"Imperial","Kongens Nytorv",1792.4,21.65
"Guldsmeden København","Kongens Nytorv",2430.6,29.3216666666667
"Absalon Hotel","Kongens Nytorv",2063.7,24.8383333333333
"Four Points Flex by Sheraton Copenhagen City","Kongens Nytorv",2083.1,25.1016666666667
"Ascot Hotel","Kongens Nytorv",1548.7,18.635
"Hotel Alexandra","Kongens Nytorv",1474.2,17.71
"MS Mary","Kongens Nytorv",507.9,6.14666666666667
